prolificId,order,text,wordCount,createdAt
p82,4,The smart future,3,26:49.0
p82,5,Nerd's best friend,3,26:49.0
p83,1,Embrace Innovation,2,00:46.3
p83,2,Find Yourself With Technology,4,00:46.3
p83,3,Connect with world like never before,6,00:46.3
p83,4,Take a Selfie with Confidence,5,00:46.3
p83,5,With the longest battery life ever,6,00:46.3
p83,6,The most durable of all time,6,00:46.3
p84,1,Keep your world close to heart.,6,07:01.8
p84,2,Stay curious. Stay connected.,4,07:01.8
p84,3,"Everything you need, within reach.",5,07:01.8
p85,1,You in a phone,4,05:54.7
p85,2,Keeping you connected like never before,6,05:54.7
p85,3,Stay connected,2,05:54.7
p85,4,Your best all-in-one,3,05:54.7
p85,5,Smart phones for a smarter you,6,05:54.7
p86,1,Each Click is A Connection,5,07:24.8
p86,2,Swipe Into the Future,4,07:24.8
p86,3,Communication Made Easy,3,07:24.8
p86,4,Don't Be Alone,3,07:24.8
p86,5,"Fast, Fun, and Functional",4,07:24.8
p86,6,"Smart, Sleek, Sexy",3,07:24.8
p87,1,Handles Everything but the Laundry,5,02:53.2
p87,2,Texting Never Looked So Good,5,02:53.2
p87,3,"Big Processor, Slim Design",4,02:53.2
p87,4,A phone for tech people,5,02:53.2
p87,5,Bigger Screen for Bigger Ideas,5,02:53.2
p87,6,Nobody Talks on the Phone,5,02:53.2
p87,7,"Compant and Neutral, goes with everything",6,02:53.2
p87,8,"Balance yet sophisticated, like you",5,02:53.2
p88,1,Connect with Creativity,3,05:38.7
p88,2,The whole world in your hand,6,05:38.7
p88,3,Pocket 'Puter,2,05:38.7
p88,4,"Complexity, Simplified",2,05:38.7
p88,5,"Work from home, from your pocket",6,05:38.7
p88,6,The Amazing Digital Cellular Smart Device,6,05:38.7
p89,1,Connected to Everything,3,01:38.4
p89,2,Your Everything Device,3,01:38.4
p89,3,Phone meets Future,3,01:38.4
p89,4,The One to Rule Them All,6,01:38.4
p89,5,Connected in Style,3,01:38.4
